Machine_learning,Machine_learning,en,Machine_learning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,2,2,1,1,0,1,1,2,5,6,9,1,4,3,12,14,19,1,4,13,2,9,8,7,11,6,16,11,10,10,13,11,13,19,5,14,10,19,13,18,22,14,7,10,3,1,9,9,5,5,6,2,2,14,5,5,14,6,4,6,2,5,6,6,11,9,2,7,10,1,0,10,7,8,11,2,26,17,6,22,9,11,5,7,8,13,6,15,24,8,4,2,8,17,8,12,12,1,12,8,12,5,6,4,10,11,7,24,13,7,14,6,12,4,11,3,12,8,6,9,4,5,4,9,3,15,3,20,8,15,33,18,19,18,16,10,24,22,25,11,14,39,10,12,18,21,17,24,30,4,18,34,23,18,29,34,9,12,20,39,26,14,20,22,34,29,13,22,12,20,17,20,23,37,29
Software-defined_radio,Software-defined_radio,en,Software-defined_radio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,2,0,0,0,0,0,1,0,0,0,0,1,0,1,0,2,0,0,1,4,2,2,2,5,1,2,1,5,3,2,6,5,1,3,6,1,10,3,5,8,11,6,3,2,9,5,4,10,15,10,34,19,3,8,3,5,3,3,9,1,10,20,4,8,20,4,4,8,11,3,17,30,1,5,10,2,7,10,2,1,4,1,3,11,8,10,0,5,3,1,3,4,1,0,1,5,9,9,1,9,4,3,1,1,5,4,9,3,6,3,3,2,3,8,6,3,16,2,1,5,9,5,12,4,3,3,2,3,4,9,3,2,0,11,2,4,1,2,7,2,2,2,11,13,4,2,0,3,2,0,4,4,5,1,0,0,0,0,1,0,3,1,3,5,0,0,3,0,1,0,0,0,3,0,3,2,3,2,0,1,0,2,2,3,0,1
Speech_recognition,Speech_recognition,en,Speech_recognition,0,0,0,0,0,0,0,5,1,1,2,0,0,2,0,1,3,0,0,0,1,0,0,0,1,1,3,0,0,2,0,4,2,5,6,2,1,3,4,3,1,6,0,5,7,11,37,16,15,3,22,22,16,5,32,18,20,28,29,49,45,16,13,23,21,23,16,15,17,33,19,19,14,29,22,48,24,25,28,24,24,23,16,31,22,17,7,27,8,12,11,13,5,20,20,6,8,23,6,3,11,28,5,13,7,22,10,21,6,10,10,8,14,15,12,3,20,17,12,8,7,6,6,13,11,14,22,2,19,18,14,16,11,8,6,5,3,9,5,16,0,0,3,9,6,8,1,0,2,10,10,2,5,38,7,6,1,5,5,6,4,6,3,25,20,15,9,5,5,3,3,2,5,7,2,3,10,6,18,14,17,2,2,14,9,4,7,18,11,9,4,9,6,16,24,0,9,4,6,11,5,7,2,4,8
Mobile_edge_computing,Mobile_edge_computing,en,Mobile_edge_computing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,2,0,0,0,0,0,0,1,16,0,1,3,0,1,0,0,0,0,1,2,0,2,0,0,0,2,4,1,0,0,0,0,0,0,0,0,0,0,2,7,4
Quantum_computing,Quantum_computing,en,Quantum_computing,0,0,0,0,1,1,9,9,0,0,2,1,0,0,0,4,0,2,0,0,5,7,3,1,5,1,1,1,5,2,6,7,8,18,7,8,64,23,12,18,9,12,8,6,8,9,7,10,10,12,21,14,23,14,18,18,15,8,38,30,13,24,9,19,23,14,26,17,77,30,57,31,16,27,10,20,14,31,25,16,20,48,25,35,29,30,12,13,24,19,14,25,13,10,24,7,8,25,18,31,13,16,8,13,9,24,10,12,7,6,4,8,11,4,10,19,8,23,22,29,10,3,12,9,13,17,6,12,12,9,16,5,4,18,12,10,10,9,9,17,7,11,13,25,12,10,20,9,15,5,5,20,8,11,13,11,8,4,2,13,27,15,34,11,18,13,7,9,12,21,3,9,16,23,21,19,4,5,9,10,5,20,7,4,14,17,4,8,6,8,12,11,24,15,22,38,12,11,16,13,17,23,19,20,11
Supercomputer,Supercomputer,en,Supercomputer,0,0,0,0,0,0,0,11,0,1,0,23,9,6,1,1,4,1,1,1,0,0,1,1,1,23,8,3,1,4,1,4,6,6,1,21,10,17,2,7,10,44,16,40,7,17,35,26,10,34,9,29,28,27,19,22,36,26,26,30,42,30,41,25,55,44,48,29,57,62,32,42,29,20,41,89,21,41,16,19,39,20,28,28,67,26,27,42,28,55,33,7,45,32,19,45,19,21,21,54,33,27,32,9,7,18,20,3,14,6,10,22,45,19,10,13,30,12,10,43,42,99,41,25,9,12,5,16,148,16,7,20,30,16,9,18,21,43,15,17,18,22,12,15,41,2,4,10,15,19,7,25,11,10,17,9,13,2,6,14,18,16,14,12,17,9,9,23,16,21,18,12,9,8,6,10,18,14,4,2,6,8,13,10,10,11,6,14,17,7,3,10,6,21,20,12,9,22,16,14,6,7,15,16,19
Next_Generation_Mobile_Networks,Next_Generation_Mobile_Networks,en,Next_Generation_Mobile_Networks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
Recursive_InterNetwork_Architecture_(RINA),Recursive_InterNetwork_Architecture_(RINA),en,Recursive_InterNetwork_Architecture_(RINA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,2,0,2,1,0,0,2,1,1,0,2,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,2,1,2,0,0,0,1,0,0,0
Conversational_Monitor_System,Conversational_Monitor_System,en,Conversational_Monitor_System,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,2,1,3,0,0,0,1,1,0,2,2,1,0,1,0,0,0,0,0,4,0,0,0,0,0,5,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Internet_exchange_point,Internet_exchange_point,en,Internet_exchange_point,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,4,1,2,5,1,3,3,4,4,1,6,0,3,0,1,0,4,5,3,8,8,17,5,0,4,4,12,9,4,8,6,4,3,10,15,9,10,13,6,5,6,4,13,4,7,16,3,3,2,2,12,12,10,7,16,2,10,0,0,0,0,2,0,1,6,0,0,3,7,3,0,0,0,1,0,2,0,1,0,3,0,0,0,1,5,1,1,0,2,0,1,2,0,3,0,1,0,3,0,1,1,0,3,2,0,6,5,4,2,1,0,1,0,0,0,2,1,1,0,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,4,12,2,0,1,0,1,0,4,1,0,0,0,0,4,0,2,3,0,5,0,0,1,2,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0
