t_survey_name,t_survey_edition,t_country_l1u,t_country_set,mean_hs,year,iso2c,iso3c,continent,obsValue
ESS,1,CZ,1,92.62321974062002,2002,CZ,CZE,Europe,87.927078
ESS,1,DE,1,92.29352398851438,2003,DE,DEU,Europe,83.377304
ESS,1,DK,1,83.50612629594723,2002,DK,DNK,Europe,81.091713
ESS,1,ES,1,49.67798271924352,2002,ES,ESP,Europe,42.239174
ESS,1,FR,1,73.11184281574756,2003,FR,FRA,Europe,65.222137
ESS,1,GB,1,51.96054770569864,2002,GB,GBR,Europe,64.253204
ESS,1,GR,1,49.54011927886622,2003,GR,GRC,Europe,53.547493
ESS,1,HU,1,75.88717015468607,2002,HU,HUN,Europe,71.422577
ESS,1,IE,1,58.408638547346904,2003,IE,IRL,Europe,61.701839
ESS,1,IL,1,84.02857457152712,2002,IL,ISR,Asia,80.335136
ESS,1,IT,1,47.807236141041024,2003,IT,ITA,Europe,48.413567
ESS,1,NL,1,59.70448362826855,2002,NL,NLD,Europe,67.834457
ESS,1,PL,1,80.55568980699648,2002,PL,POL,Europe,81.233597
ESS,1,PT,1,24.95054856965186,2002,PT,PRT,Europe,20.692257
ESS,1,SE,1,77.69571639586411,2002,SE,SWE,Europe,81.576057
ESS,1,SI,1,77.7327935222672,2002,SI,SVN,Europe,77.017944
ESS,2,AT,1,83.81086843225141,2005,AT,AUT,Europe,76.944931
ESS,2,BE,1,73.90180878552972,2004,BE,BEL,Europe,64.291756
ESS,2,CH,1,83.8703450557305,2004,CH,CHE,Europe,85.020645
ESS,2,CZ,1,89.92005979039838,2004,CZ,CZE,Europe,89.076393
ESS,2,DE,1,93.11018593376575,2004,DE,DEU,Europe,83.900543
ESS,2,DK,1,85.88007736943906,2004,DK,DNK,Europe,81.221817
ESS,2,EE,1,90.16806722689076,2004,EE,EST,Europe,88.25676
ESS,2,ES,1,48.105266437933444,2004,ES,ESP,Europe,45.363956
ESS,2,FI,1,77.47336377473364,2004,FI,FIN,Europe,77.624962
ESS,2,FR,1,74.27725146469011,2005,FR,FRA,Europe,66.810066
ESS,2,GB,1,37.80632205489422,2004,GB,GBR,Europe,66.168442
ESS,2,GR,1,52.85059827079037,2005,GR,GRC,Europe,57.713791
ESS,2,HU,1,86.84813176854838,2005,HU,HUN,Europe,76.390182
ESS,2,IE,1,62.13333299743553,2005,IE,IRL,Europe,64.533279
ESS,2,IT,1,54.89556877442888,2006,IT,ITA,Europe,51.289104
ESS,2,NL,1,62.6511083713893,2004,NL,NLD,Europe,70.906235
ESS,2,PL,1,84.6473009687688,2004,PL,POL,Europe,83.92646
ESS,2,PT,1,26.521155467161556,2005,PT,PRT,Europe,26.450506
ESS,2,SE,1,77.5875486381323,2004,SE,SWE,Europe,82.94297
ESS,2,SI,1,81.83881952326901,2004,SI,SVN,Europe,79.668991
