t_survey_name,t_survey_edition,t_country_l1u,t_country_year,survey,t_gender,hhinc_mean,persinc_mean,hhinc_prop_mis,persinc_prop_mis,hhinc_kurt,hhinc_skew,hhinc_scale_length,persinc_kurt,persinc_skew,persinc_scale_length,pcor_hhinc_persinc,scor_hhinc_persinc,scor_persinc_edu,scor_persinc_yrsedu,scor_hhinc_edu,scor_hhinc_yrsedu,scor_edu_yrsedu,n
WVS,3,AU,1995,WVS3AU1,0,50.2535647012634,,0.0994974874371859,1,-1.40725189424928,0.133615196371923,10,,,,,,,,0.393164608153797,0.364518980014111,0.739903846088706,995
WVS,3,AU,1995,WVS3AU1,1,45.0309293655971,,0.125356125356125,1,-1.32417157650301,0.311213375272221,10,,,,,,,,0.288362163782536,0.353921292698915,0.683762406656198,1053
WVS,3,AZ,1997,WVS3AZ1,0,43.1222746514771,,0.130479102956167,1,-0.763136519193274,0.280186021379535,7,,,,,,,,0.161898370886896,,,981
WVS,3,AZ,1997,WVS3AZ1,1,40.3766895919196,,0.133202742409403,1,-0.704809735983249,0.336951112218071,7,,,,,,,,0.22716820075371,,,1021
WVS,3,BA-FBH,1998,WVS3BA-FBH1,0,37.7909647979234,,0.0214592274678112,1,0.441824494004508,0.709848601580046,10,,,,,,,,0.374926407470117,,,466
WVS,3,BA-FBH,1998,WVS3BA-FBH1,1,37.9111211140951,,0.0119760479041916,1,0.249071332249638,0.603310226707291,10,,,,,,,,0.376132622134841,,,334
WVS,3,BA-RSR,1998,WVS3BA-RSR1,0,38.5476016998291,,0.136563876651982,1,-0.360126749287665,0.273124456069106,10,,,,,,,,0.328974780750851,,,227
WVS,3,BA-RSR,1998,WVS3BA-RSR1,1,37.0858780048989,,0.144508670520231,1,-0.577998527183459,0.302914043416643,10,,,,,,,,0.498794900346677,,,173
WVS,3,BD,1996,WVS3BD1,0,38.5659946494499,,0.0625737898465171,1,-0.631768694038926,0.264621033877867,10,,,,,,,,0.355363033075878,0.222821273639605,0.522769262255835,847
WVS,3,BD,1996,WVS3BD1,1,38.9059997850849,,0.0855457227138643,1,-0.756844699327554,0.277321260668007,10,,,,,,,,0.368204119140239,0.175098573321309,0.365833175302413,678
WVS,3,BG,1997,WVS3BG1,0,49.4163010370786,,0.139489194499018,1,-1.17728818916141,0.0344860146220176,10,,,,,,,,0.412863547498439,,,509
WVS,3,BG,1997,WVS3BG1,1,48.6261922848825,,0.188277087033748,1,-1.20402145334956,0.0475195002379463,10,,,,,,,,0.517693039548524,,,563
WVS,3,BR,1997,WVS3BR1,0,18.7932666062011,,0.0367132867132867,1,1.84961473942527,1.5064643289976,10,,,,,,,,0.433872326293876,0.0744766182058329,0.177180091967073,572
WVS,3,BR,1997,WVS3BR1,1,16.625417990251,,0.0467937608318891,1,3.28572015697787,1.83443271293263,10,,,,,,,,0.375145255649058,-0.0196456266502987,0.145178754517413,577
WVS,3,BY,1996,WVS3BY1,0,54.3770436990531,,0.0519774011299435,1,-0.919331983908268,-0.0469525054869349,10,,,,,,,,0.310628744903848,,,885
WVS,3,BY,1996,WVS3BY1,1,48.3643289476322,,0.0488815244407622,1,-0.981333269053486,0.0743181075304569,10,,,,,,,,0.413361042335232,,,1207
WVS,3,CH,1996,WVS3CH1,0,57.1431382734662,,0.208538587848933,1,-1.27448326132027,-0.170137930916177,10,,,,,,,,0.333706925627081,0.251267829869361,0.571082039048901,609
WVS,3,CH,1996,WVS3CH1,1,50.5785616518615,,0.195688225538972,1,-1.40681908134418,0.00717782680987815,10,,,,,,,,0.323283362858775,0.222991165558617,0.655163342835735,603
WVS,3,CL,1996,WVS3CL1,0,46.6679593587367,,0.0645161290322581,1,-1.14982004420246,-0.0209099911005448,10,,,,,,,,0.517834100326404,0.408626156028742,0.660544881928639,465
WVS,3,CL,1996,WVS3CL1,1,40.7607657938749,,0.0523364485981309,1,-1.12791813897372,0.23782531243392,10,,,,,,,,0.441853550642277,0.363947732299701,0.673423750968643,535
WVS,3,CN,1995,WVS3CN1,0,40.9669334461752,,0,1,-0.40690597897931,0.0459809415938375,10,,,,,,,,0.184412703552564,0.111105130606107,0.668094990805712,799
WVS,3,CN,1995,WVS3CN1,1,44.5229668964163,,0,1,-0.115256219143378,-0.217514941546084,10,,,,,,,,0.114881344411644,0.114568225686513,0.694970822478239,701
WVS,3,CO,1997,WVS3CO1,0,35.0623455472771,,0.0286475682878081,1,-0.339010300246428,0.753802080526719,10,,,,,,,,0.47034845689602,0.222879453937759,0.33077834431818,1501
WVS,3,CO,1997,WVS3CO1,1,30.9513803910423,,0.0471204188481675,1,0.0334878363245257,0.919835155007782,10,,,,,,,,0.448195049967143,0.243964620301128,0.325521425447168,1528
WVS,3,CO,1998,WVS3CO2,0,36.3592852584557,,0.00191082802547771,1,-0.01957673674496,0.789368908006114,5,,,,,,,,0.634302347921073,0.487859923744593,0.739230972313431,1570
WVS,3,CO,1998,WVS3CO2,1,31.4345991561181,,0.00280504908835905,1,0.612640030488552,1.00993469699556,5,,,,,,,,0.612133246095083,0.478157858507636,0.738742421630802,1426
WVS,3,CZ,1998,WVS3CZ1,0,44.9965669290343,,0.192771084337349,1,-0.449421125736467,0.359659363043615,10,,,,,,,,0.283686208400182,,,498
WVS,3,CZ,1998,WVS3CZ1,1,33.5790756722695,,0.166409861325116,1,-0.599310855707782,0.573597026941425,10,,,,,,,,0.286844276498476,,,649
WVS,3,DE-E,1997,WVS3DE-E1,0,42.2948854946302,,0.154838709677419,1,-0.364320922649625,0.416542899424058,10,,,,,,,,0.0953741656339553,,,465
WVS,3,DE-E,1997,WVS3DE-E1,1,42.6962893344071,,0.123161764705882,1,-0.125829860118272,0.409468634436199,10,,,,,,,,-0.0427082235667392,,,544
WVS,3,DE-W,1997,WVS3DE-W1,0,52.6967902246774,,0.185745140388769,1,-0.681644776730893,-0.0366780317065587,10,,,,,,,,-0.123399822315775,,,463
WVS,3,DE-W,1997,WVS3DE-W1,1,53.2346887397766,,0.187725631768953,1,-0.788464470083419,0.0482548094081656,10,,,,,,,,-0.0555908282407656,,,554
WVS,3,DO,1996,WVS3DO1,0,44.9202855110168,,0.176470588235294,1,-0.864453166192973,0.170137690950525,10,,,,,,,,0.364654577950382,0.0334441943429834,0.374257789763365,170
WVS,3,DO,1996,WVS3DO1,1,35.588781526246,,0.195918367346939,1,-0.769905800986503,0.503284726951156,10,,,,,,,,0.322896139563991,-0.162539291920672,0.193643034799982,245
WVS,3,EE,1996,WVS3EE1,0,39.4254377316769,,0.03125,1,-0.196172438444789,0.745044903522933,10,,,,,,,,0.422641531861991,,,448
WVS,3,EE,1996,WVS3EE1,1,33.5122701868281,,0.031413612565445,1,0.258147803194213,0.987565024386253,10,,,,,,,,0.386625777549123,,,573
WVS,3,ES,1995,WVS3ES1,0,34.0335614419668,,0.251282051282051,1,0.366926063539791,0.808365732429986,10,,,,,,,,0.505226725357393,0.404600399071755,0.8725620726819,585
WVS,3,ES,1995,WVS3ES1,1,30.5461273476228,,0.29073482428115,1,0.700696917503636,0.875739252975347,10,,,,,,,,0.471025103116408,0.406467567799061,0.826029283331335,626
WVS,3,FI,1996,WVS3FI1,0,34.2084908914996,,0.075,1,-0.40302533948105,0.644389312663956,10,,,,,,,,0.297211312419505,0.157435573060772,0.428386641825036,480
WVS,3,FI,1996,WVS3FI1,1,29.7076118851521,,0.0749506903353057,1,-0.0268580881871308,0.758781261793979,10,,,,,,,,0.264605031708965,0.219549753247369,0.538049152390633,507
WVS,3,GB-GBN,1998,WVS3GB-GBN1,0,70.4337598728328,,0.237154150197628,1,-1.02851411483563,-0.66679402831466,10,,,,,,,,0.389050827899879,0.378533865986721,0.723855988011349,506
WVS,3,GB-GBN,1998,WVS3GB-GBN1,1,58.6641950436271,,0.294718909710392,1,-1.4995369106405,-0.270965972972525,10,,,,,,,,0.526655251302129,0.525557969224066,0.789018972257459,587
WVS,3,GE,1996,WVS3GE1,0,23.4270742383684,,0.0288568257491676,1,2.1415629850421,1.18471314183996,10,,,,,,,,0.112633937656076,,,901
WVS,3,GE,1996,WVS3GE1,1,19.7607472198036,,0.020776874435411,1,1.51059843046374,1.02543763283317,10,,,,,,,,0.150701889050813,,,1107
WVS,3,HR,1996,WVS3HR1,0,46.4951251826406,,0.00357142857142857,1,-1.11474265554128,0.217578495950864,10,,,,,,,,,,,560
WVS,3,HR,1996,WVS3HR1,1,44.4973917816162,,0.00793650793650794,1,-1.00580912457341,0.251617848368317,10,,,,,,,,,,,630
WVS,3,IN,1995,WVS3IN1,0,35.2152635293911,,0.204464285714286,1,-0.409934884781412,0.332842950399683,10,,,,,,,,0.210641818588059,0.171722046618515,0.816762312226974,1120
WVS,3,IN,1995,WVS3IN1,1,34.7033332479306,,0.321739130434783,1,-0.55012379189808,0.234108411700318,10,,,,,,,,0.380658102951169,0.283293353420699,0.825506070932099,920
WVS,3,JP,1995,WVS3JP1,0,50.5442258396966,,0.153846153846154,1,-1.09760787067743,0.257052385241309,10,,,,,,,,,0.269887445755093,,520
WVS,3,JP,1995,WVS3JP1,1,48.4970561861215,,0.232209737827715,1,-1.04066551237206,0.270534977516691,10,,,,,,,,,0.298385102932316,,534
WVS,3,KR,1996,WVS3KR1,0,58.0445544554456,,0.00980392156862745,1,-0.739275190199948,-0.177173518747489,9,,,,,,,,0.365148090817172,,,612
WVS,3,KR,1996,WVS3KR1,1,58.9912280701755,,0.0156985871271586,1,-0.804330372607924,-0.188842361325832,9,,,,,,,,0.506581999113995,,,637
WVS,3,LT,1997,WVS3LT1,0,64.1440826045374,,0.0930693069306931,1,-0.797152037366437,-0.532374657994489,10,,,,,,,,0.354562325321027,,,505
WVS,3,LT,1997,WVS3LT1,1,58.1602791734921,,0.0773809523809524,1,-1.21042795556506,-0.333470228254096,10,,,,,,,,0.41432168647226,,,504
WVS,3,LV,1996,WVS3LV1,0,49.172431158552,,0.0395480225988701,1,-1.18321648936468,-0.0211908686475789,10,,,,,,,,0.348880558794002,,,531
WVS,3,LV,1996,WVS3LV1,1,42.0793567017793,,0.0239162929745889,1,-1.09556769689624,0.213203950962014,10,,,,,,,,0.255987666999044,,,669
WVS,3,MD,1996,WVS3MD1,0,28.7082800369101,,0.0228215767634855,1,0.594191317372397,1.03173770584255,10,,,,,,,,0.287167888160265,,,482
WVS,3,MD,1996,WVS3MD1,1,27.5260858711649,,0.0278884462151394,1,0.742682302121824,1.08209070637454,10,,,,,,,,0.334120486028665,,,502
WVS,3,ME,1996,WVS3ME1,0,55.4542723655701,,0.0434782608695652,1,-1.25320578379185,-0.0667875102300876,10,,,,,,,,0.370162438383039,,,115
