idno,cntry,pspwght,polintr,nwspol,vote,contplt,wrkprty,wrkorg,badge,sgnptit,pbldmn,bctprd,pstplonl,eduyrs,eisced,isco08,domicil,agea,gndr,hincfel,hinctnta,hhmmb,female,city,age,age_10,hhsize5
8882,PL,0.97442102432251,1,2,2,1,2,2,1,2,2,1,2,17,7,2330,3,59,1,2,3,1,0,0,59,5.9,1
8891,PL,0.71273535490036,1,2,1,1,1,1,1,1,1,1,1,7,2,9313,4,73,1,1,2,1,0,0,73,7.3,1
8898,PL,0.907294452190399,1,2,2,1,1,1,1,1,1,1,1,8,2,8172,4,31,1,,2,2,0,0,31,3.1,2
8902,PL,1.14610421657562,1,1,1,1,1,1,1,1,1,1,1,8,2,9112,3,57,2,1,3,4,1,0,57,5.7,4
8903,PL,1.0155713558197,1,1,2,1,1,1,1,1,1,1,1,14,5,2330,1,54,1,2,7,4,0,1,54,5.4,4
8904,PL,0.948779106140137,1,1,,1,1,1,1,1,1,1,1,13,4,5211,4,32,2,1,2,3,1,0,32,3.2,3
8905,PL,1.07648515701294,1,1,,1,1,1,1,1,1,1,1,9,2,,4,16,2,3,,5,1,0,16,1.6,5
8907,PL,0.882973611354828,1,1,2,1,1,1,1,1,1,1,1,15,6,2341,4,81,2,2,2,6,1,0,81,8.1,5
8923,PL,1.02699410915375,1,2,2,1,1,1,2,2,1,1,1,13,4,3111,3,25,1,2,9,4,0,0,25,2.5,4
8929,PL,0.953562259674072,1,2,,1,1,1,1,1,1,1,1,8,1,,4,15,1,2,7,3,0,0,15,1.5,3
8930,PL,0.887403547763825,1,2,2,1,1,1,1,1,1,1,1,12,3,6130,4,39,2,2,,5,1,0,39,3.9,5
8932,PL,1.10924983024597,2,2,2,2,2,1,1,1,1,1,1,17,7,1120,3,50,1,2,9,6,0,0,50,5,5
8934,PL,0.881432354450226,1,2,1,1,1,1,1,1,1,1,1,18,7,2221,3,54,2,2,4,3,1,0,54,5.4,3
8936,PL,1.13816332817078,1,2,2,1,1,1,1,1,1,1,1,13,4,2359,4,60,2,2,5,7,1,0,60,6,5
8937,PL,1.00992381572723,1,2,2,1,1,1,1,1,1,1,1,17,7,2164,4,39,1,2,7,5,0,0,39,3.9,5
8948,PL,0.843640327453613,1,2,2,1,1,1,1,1,1,1,1,8,2,7421,4,65,1,2,3,2,0,0,65,6.5,2
8949,PL,1.19209253787994,1,2,2,1,1,1,1,1,1,1,1,12,3,1219,3,62,2,2,5,2,1,0,62,6.2,2
8958,PL,0.783815503120422,1,1,,1,1,1,1,1,1,1,1,9,2,,4,15,1,1,7,6,0,0,15,1.5,5
8959,PL,0.726197481155396,2,2,,1,1,2,1,1,1,1,1,11,2,,3,19,1,2,,3,0,0,19,1.9,3
8969,PL,1.10964584350586,1,1,2,1,1,1,1,1,1,1,1,10,2,,4,67,2,3,3,5,1,0,67,6.7,5
8973,PL,0.928108751773834,1,2,2,1,1,1,1,1,1,1,1,13,4,5141,4,22,2,2,,5,1,0,22,2.2,5
8976,PL,1.06812644004822,1,1,1,2,1,1,1,1,1,1,1,9,2,5223,4,21,2,2,9,3,1,0,21,2.1,3
8977,PL,0.801234304904938,1,2,,1,1,1,1,1,1,2,2,9,2,,1,17,1,0,1,2,0,1,17,1.7,2
8986,PL,0.862429678440094,1,2,2,2,2,2,2,1,2,2,1,13,3,6111,4,59,1,2,6,2,0,0,59,5.9,2
8989,PL,0.853397488594055,1,2,2,1,1,1,1,1,1,1,1,12,4,7319,1,56,2,1,4,3,1,1,56,5.6,3
8997,PL,0.907294452190399,1,1,1,1,1,1,1,1,1,1,1,17,6,2152,4,24,1,2,7,5,0,0,24,2.4,5
8998,PL,0.778942286968231,1,2,2,1,1,1,1,1,1,1,1,11,2,8332,3,59,1,2,,3,0,0,59,5.9,3
