essround,cntry,trstprl,pspwght,party,vote_gov,vote_po_pis_sld
1,PL,7,1.00422640651188,1,1,3
1,PL,6,0.655135114180404,7,0,1
1,PL,7,0.91830604735303,1,1,3
1,PL,0,0.67616235401145,4,0,-1
1,PL,,1.00422640651188,1,1,3
1,PL,4,0.797868562899391,10,0,-1
1,PL,8,1.05865902102017,1,1,3
1,PL,3,1.10583156787693,3,0,-1
1,PL,5,0.917969925110599,10,0,-1
1,PL,6,0.82750174324069,1,1,3
1,PL,2,1.05390151332284,4,0,-1
1,PL,2,1.13594367653813,1,1,3
1,PL,2,0.622047294239458,5,0,2
1,PL,2,0.709978438298428,7,0,1
1,PL,3,1.04424170231124,7,0,1
1,PL,4,1.20974454411016,1,1,3
1,PL,0,0.712128651795497,1,1,3
1,PL,1,0.962180616611392,5,0,2
1,PL,5,1.20501355650354,1,1,3
1,PL,0,1.13625908298871,1,1,3
1,PL,5,0.854057277572641,1,1,3
1,PL,7,1.04532563539792,7,0,1
1,PL,6,0.77774211430682,1,1,3
1,PL,4,1.27800052946032,7,0,1
1,PL,3,1.14520450863676,6,1,-1
1,PL,,0.921090831975146,1,1,3
1,PL,,1.02529830037271,1,1,3
1,PL,4,0.721212027927788,1,1,3
1,PL,0,0.93848755799002,1,1,3
1,PL,1,1.09836059439741,1,1,3
1,PL,8,0.942216298935217,1,1,3
1,PL,4,0.9951801991187,4,0,-1
1,PL,5,1.13283297760889,1,1,3
1,PL,3,0.716513804264201,1,1,3
1,PL,5,0.853770479354956,2,0,-1
1,PL,5,0.719090302440569,1,1,3
1,PL,3,1.00542876333501,3,0,-1
1,PL,4,1.03100774777839,7,0,1
1,PL,0,0.721789156218317,7,0,1
1,PL,4,1.13283297760889,5,0,2
1,PL,5,0.766255712429901,1,1,3
1,PL,3,1.18796610431953,10,0,-1
1,PL,4,0.93848755799002,1,1,3
1,PL,2,1.03342556952467,4,0,-1
1,PL,2,0.853770479354956,1,1,3
1,PL,5,0.986586600691424,1,1,3
1,PL,4,0.938536525812664,1,1,3
